Date:,25-Sep-14,ACTUAL,,Date:,25-Sep-14,ACTUAL,,,,,,,,
work,40,10:25:00,,work,40,10:25:00,,,,,,,,
program calls,15,11:05:00,,program calls,15,11:05:00,,,,,,,,
plan,5,11:20:00,,plan,5,11:20:00,,,,,,,,
work,35,11:25:00,,work,35,11:25:00,,,,,,,,
lunch,105,12:00:00,,Lunch,75,12:00:00,,,,,,,,
program,20,13:45:00,,work,60,13:15:00,,,,,,,,
work,50,14:05:00,,break,30,14:15:00,,,,,,,,
program,55,14:55:00,,meditate,15,14:45:00,,,,,,,,
break,15,15:50:00,,work,55,15:00:00,,,,,,,,
meditate,10,16:05:00,,Break,20,15:55:00,,,,,,,,
work,80,16:15:00,,work,50,16:15:00,,,,,,,,
video,10,17:35:00,,Break,25,17:05:00,,,,,,,,
meditate,5,17:45:00,,work,15,17:30:00,,,,,,,,
leave,,17:50:00,,leave,,17:45:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,30-May-14,ACTUAL,,Date:,30-May-14,PLAN,,,,,,,,
wake up,70,7:40:00,,wake up,70,7:40:00,,,,,,,,
drive to work,45,8:50:00,,drive to work,45,8:50:00,,,,,,,,
plan,5,9:35:00,,plan,5,9:35:00,,,,,,,,
program,10,9:40:00,,program,10,9:40:00,,,,,,,,
work,50,9:50:00,,work,35,9:50:00,,,,,,,,
meditation,15,10:40:00,,meditation,15,10:25:00,,,,,,,,
work,30,10:55:00,,work,35,10:40:00,,,,,,,,
break,15,11:25:00,,break,15,11:15:00,,,,,,,,
program,10,11:40:00,,work,25,11:30:00,,,,,,,,
work,30,11:50:00,,Lunch,40,11:55:00,,,,,,,,
lunch,35,12:20:00,,work,30,12:35:00,,,,,,,,
work,30,12:55:00,,meditate,10,13:05:00,,,,,,,,
meditate,10,13:25:00,,work,30,13:15:00,,,,,,,,
bathroom,10,13:35:00,,break,75,13:45:00,,,,,,,,
work,20,13:45:00,,work,35,15:00:00,,,,,,,,
break,10,14:05:00,,Break,20,15:35:00,,,,,,,,
gym,80,14:15:00,,work,35,15:55:00,,,,,,,,
work,50,15:35:00,,Meditate,15,16:30:00,,,,,,,,
break,20,16:25:00,,work,15,16:45:00,,,,,,,,
work,20,16:45:00,,leave,,17:00:00,,,,,,,,
meditate,15,17:05:00,,,,,,,,,,,,
work,15,17:20:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,29-May-14,ACTUAL,,Date:,29-May-14,PLAN,,,,,,,,
wake up,20,7:10:00,,wake up,20,7:10:00,,,,,,,,
drive to work,15,7:30:00,,drive to work,15,7:30:00,,,,,,,,
breakfast,30,7:45:00,,breakfast,30,7:45:00,,,,,,,,
plan,10,8:15:00,,plan,10,8:15:00,,,,,,,,
subanalytics,20,8:25:00,,subanalytics,25,8:25:00,,,,,,,,
program calls,15,8:45:00,,walk,65,8:50:00,,,,,,,,
subanalytics,95,9:00:00,,work,45,9:55:00,,,,,,,,
program,15,10:35:00,,program,50,10:40:00,,,,,,,,
subanalytics,60,10:50:00,,work,25,11:30:00,,,,,,,,
lunch,80,11:50:00,,lunch,80,11:55:00,,,,,,,,
program calls,35,13:10:00,,work,35,13:15:00,,,,,,,,
prayer and meditation,25,13:45:00,,gym,70,13:50:00,,,,,,,,
program,5,14:10:00,,meeting,60,15:00:00,,,,,,,,
work,5,14:15:00,,leave,,16:00:00,,,,,,,,
program,5,14:20:00,,,,,,,,,,,,
work,35,14:25:00,,,,,,,,,,,,
meeting,90,15:00:00,,,,,,,,,,,,
leave,,16:30:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,28-May-14,ACTUAL,,Date:,28-May-14,PLAN,,,,,,,,
wake up get ready,90,7:15:00,,wake up get ready,90,7:15:00,,,,,,,,
bike and shower,35,8:45:00,,bike and shower,35,8:45:00,,,,,,,,
program call,15,9:20:00,,program call,15,9:20:00,,,,,,,,
churn,15,9:35:00,,churn,15,9:35:00,,,,,,,,
work,20,9:50:00,,work,20,9:50:00,,,,,,,,
program calls,20,10:10:00,,program calls,20,10:10:00,,,,,,,,
work,30,10:30:00,,work,30,10:30:00,,,,,,,,
plan,5,11:00:00,,plan,5,11:00:00,,,,,,,,
program,5,11:05:00,,program,20,11:05:00,,,,,,,,
beer research,20,11:10:00,,work,50,11:25:00,,,,,,,,
work,20,11:30:00,,churn,30,12:15:00,,,,,,,,
program,5,11:50:00,,lunch,40,12:45:00,,,,,,,,
work,40,11:55:00,,work,50,13:25:00,,,,,,,,
chat with HLA greg,15,12:35:00,,churn,35,14:15:00,,,,,,,,
lunch with ross,60,12:50:00,,break,75,14:50:00,,,,,,,,
work,20,13:50:00,,work,45,16:05:00,,,,,,,,
break,50,14:10:00,,churn,40,16:50:00,,,,,,,,
work,55,15:00:00,,,,17:30:00,,,,,,,,
program calls,55,15:55:00,,,,17:30:00,,,,,,,,
program,20,16:45:00,,,,17:30:00,,,,,,,,
work,10,17:05:00,,,,17:30:00,,,,,,,,
churn,15,17:15:00,,,,17:30:00,,,,,,,,
work,10,17:30:00,,,,17:30:00,,,,,,,,
leave,,17:40:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,27-May-14,ACTUAL,,Date:,27-May-14,PLAN,,,,,,,,
wake up get ready,80,8:15:00,,wake up get ready,105,8:15:00,,,,,,,,
drive to work,15,9:35:00,,drive to work,20,10:00:00,,,,,,,,
churn,15,9:50:00,,work,45,10:20:00,,,,,,,,
work,30,10:05:00,,churn,25,11:05:00,,,,,,,,
churn,15,10:35:00,,break,5,11:30:00,,,,,,,,
work,25,10:50:00,,work,50,11:35:00,,,,,,,,
break,5,11:15:00,,churn,30,12:25:00,,,,,,,,
work,25,11:20:00,,lunch,55,12:55:00,,,,,,,,
churn,25,11:45:00,,work,60,13:50:00,,,,,,,,
work,20,12:10:00,,churn,30,14:50:00,,,,,,,,
churn,10,12:30:00,,break,45,15:20:00,,,,,,,,
lunch,60,12:40:00,,work,45,16:05:00,,,,,,,,
break,25,13:40:00,,churn,25,16:50:00,,,,,,,,
work,15,14:05:00,,break,10,17:15:00,,,,,,,,
churn,35,14:20:00,,work,35,17:25:00,,,,,,,,
break,15,14:55:00,,phone meeting,70,18:00:00,,,,,,,,
work,5,15:10:00,,leave for home,,19:10:00,,,,,,,,
program,15,15:15:00,,,,,,,,,,,,
break,10,15:30:00,,,,,,,,,,,,
work,85,15:40:00,,,,,,,,,,,,
churn,25,17:05:00,,,,,,,,,,,,
program,25,17:30:00,,,,,,,,,,,,
binge work,40,17:55:00,,,,,,,,,,,,
leave for 7 pm meeting,,18:35:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,26-May-14,ACTUAL,,Date:,26-May-14,PLAN,,,,,,,,
wake up get ready,60,7:25:00,,wake up get ready,60,7:25:00,,,,,,,,
bike no shower,20,8:25:00,,bike no shower,20,8:25:00,,,,,,,,
churn,5,8:45:00,,churn,5,8:45:00,,,,,,,,
plan,5,8:50:00,,plan,10,8:50:00,,,,,,,,
program,10,8:55:00,,program,10,9:00:00,,,,,,,,
churn,15,9:05:00,,work,50,9:10:00,,,,,,,,
work,25,9:20:00,,churn,30,10:00:00,,,,,,,,
churn,15,9:45:00,,break,15,10:30:00,,,,,,,,
work,25,10:00:00,,work,50,10:45:00,,,,,,,,
break,5,10:25:00,,churn,30,11:35:00,,,,,,,,
juggle,10,10:30:00,,phone research,15,12:05:00,,,,,,,,
work,80,10:40:00,,leave,,12:20:00,,,,,,,,
juggle,10,12:00:00,,,,,,,,,,,,
eat,5,12:10:00,,,,,,,,,,,,
subanalytics,30,12:15:00,,,,,,,,,,,,
leave,,12:45:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,23-May-14,ACTUAL,,Date:,23-May-14,PLAN,,,,,,,,
wake up get ready,95,8:05:00,,wake up get ready,95,8:05:00,,,,,,,,
drive to work,15,9:40:00,,drive to work,15,9:40:00,,,,,,,,
churn,20,9:55:00,,churn,20,9:55:00,,,,,,,,
work,30,10:15:00,,plan,5,10:15:00,,,,,,,,
churn,5,10:45:00,,work,35,10:20:00,,,,,,,,
work,10,10:50:00,,break,20,10:55:00,,,,,,,,
program,15,11:00:00,,work,25,11:15:00,,,,,,,,
work,50,11:15:00,,churn,15,11:40:00,,,,,,,,
lunch,70,12:05:00,,Break,15,11:55:00,,,,,,,,
bathroom,10,13:15:00,,lunch,60,12:10:00,,,,,,,,
plan,5,13:25:00,,work,45,13:10:00,,,,,,,,
work,35,13:30:00,,subanalytics,45,13:55:00,,,,,,,,
stewing in resentment,5,14:05:00,,break,30,14:40:00,,,,,,,,
subanalytics,55,14:10:00,,work,50,15:25:00,,,,,,,,
churn,5,15:05:00,,tea time,30,16:15:00,,,,,,,,
work,30,15:10:00,,work,50,16:45:00,,,,,,,,
churn,5,15:40:00,,,,17:35:00,,,,,,,,
break,10,15:45:00,,,,17:35:00,,,,,,,,
juggle,15,15:55:00,,,,17:35:00,,,,,,,,
program call,15,16:10:00,,,,17:35:00,,,,,,,,
work,70,16:25:00,,,,17:35:00,,,,,,,,
break,5,17:35:00,,,,17:35:00,,,,,,,,
leave,,17:40:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,22-May-14,ACTUAL,,Date:,22-May-14,PLAN,,,,,,,,
wake up get ready,55,7:45:00,,wake up get ready,55,7:45:00,,,,,,,,
bank,30,8:40:00,,bank,30,8:40:00,,,,,,,,
drive to work,20,9:10:00,,drive to work,20,9:10:00,,,,,,,,
churn,5,9:30:00,,churn,5,9:30:00,,,,,,,,
plan,5,9:35:00,,plan,5,9:35:00,,,,,,,,
eat breakfast,5,9:40:00,,eat breakfast,5,9:40:00,,,,,,,,
work,45,9:45:00,,program,15,9:45:00,,,,,,,,
meeting,45,10:30:00,,work,30,10:00:00,,,,,,,,
program,65,11:15:00,,meeting,60,10:30:00,,,,,,,,
lunch,35,12:20:00,,Break,15,11:30:00,,,,,,,,
work,40,12:55:00,,work,45,11:45:00,,,,,,,,
program,15,13:35:00,,Lunch,60,12:30:00,,,,,,,,
tea time,15,13:50:00,,work,60,13:30:00,,,,,,,,
bathroom,10,14:05:00,,break,30,14:30:00,,,,,,,,
work,35,14:15:00,,meeting,75,15:00:00,,,,,,,,
video,5,14:50:00,,Break,10,16:15:00,,,,,,,,
work,5,14:55:00,,work,50,16:25:00,,,,,,,,
meeting,60,15:00:00,,Meditate,15,17:15:00,,,,,,,,
work,35,16:00:00,,Go Home!,,17:30:00,,,,,,,,
video,15,16:35:00,,,,,,,,,,,,
leave,,16:50:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,21-May-14,ACTUAL,,Date:,21-May-14,PLAN,,,,,,,,
wake up get ready,85,7:45:00,,wake up get ready,85,7:45:00,,,,,,,,
bike no shower,20,9:10:00,,bike no shower,20,9:10:00,,,,,,,,
program call,15,9:30:00,,program call,15,9:30:00,,,,,,,,
churn,5,9:45:00,,churn,5,9:45:00,,,,,,,,
plan,5,9:50:00,,plan,5,9:50:00,,,,,,,,
work,45,9:55:00,,program,35,9:55:00,,,,,,,,
plan,5,10:40:00,,work,25,10:30:00,,,,,,,,
program,45,10:45:00,,break,10,10:55:00,,,,,,,,
work,30,11:30:00,,work,25,11:05:00,,,,,,,,
program,5,12:00:00,,Lunch,50,11:30:00,,,,,,,,
lunch,60,12:05:00,,work,75,12:20:00,,,,,,,,
work,20,13:05:00,,break,30,13:35:00,,,,,,,,
break,5,13:25:00,,work,60,14:05:00,,,,,,,,
work,25,13:30:00,,Break,30,15:05:00,,,,,,,,
video,5,13:55:00,,work,45,15:35:00,,,,,,,,
meeting,55,14:00:00,,subanalytics,55,16:20:00,,,,,,,,
program calls,20,14:55:00,,leave,,17:15:00,,,,,,,,
juggle,15,15:15:00,,,,,,,,,,,,
tea time,15,15:30:00,,,,,,,,,,,,
meditate,20,15:45:00,,,,,,,,,,,,
program,30,16:05:00,,,,,,,,,,,,
work,70,16:35:00,,,,,,,,,,,,
video,10,17:45:00,,,,,,,,,,,,
,,17:55:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,20-May-14,ACTUAL,,Date:,20-May-14,PLAN,,,,,,,,
wake up get ready,85,9:00:00,,wake up get ready,85,9:00:00,,,,,,,,
bike and shower,35,10:25:00,,bike and shower,35,10:25:00,,,,,,,,
work,5,11:00:00,,work,5,11:00:00,,,,,,,,
plan,10,11:05:00,,plan,10,11:05:00,,,,,,,,
program,50,11:15:00,,program,40,11:15:00,,,,,,,,
work,25,12:05:00,,work,45,11:55:00,,,,,,,,
program call,10,12:30:00,,churn,10,12:40:00,,,,,,,,
work,45,12:40:00,,work,45,12:50:00,,,,,,,,
bike to F to get food,15,13:25:00,,break,15,13:35:00,,,,,,,,
program,15,13:40:00,,work,45,13:50:00,,,,,,,,
lunch break,35,13:55:00,,lunch,60,14:35:00,,,,,,,,
work,10,14:30:00,,work,60,15:35:00,,,,,,,,
lunch break,20,14:40:00,,break,15,16:35:00,,,,,,,,
work,20,15:00:00,,work,30,16:50:00,,,,,,,,
program ,15,15:20:00,,subanalytics,45,17:20:00,,,,,,,,
work,65,15:35:00,,break,20,18:05:00,,,,,,,,
tea time,10,16:40:00,,work,30,18:25:00,,,,,,,,
program,30,16:50:00,,leave,,18:55:00,,,,,,,,
work,30,17:20:00,,,,,,,,,,,,
eat dinner,10,17:50:00,,,,,,,,,,,,
alanon meeting,85,18:00:00,,,,,,,,,,,,
churn,10,19:25:00,,,,,,,,,,,,
subanalytics,45,19:35:00,,,,,,,,,,,,
leave,,20:20:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,19-May-14,ACTUAL,,Date:,19-May-14,PLAN,,,,,,,,
wake up get ready,80,7:55:00,,wake up get ready,80,7:55:00,,,,,,,,
walk to work,50,9:15:00,,walk to work,50,9:15:00,,,,,,,,
churn,15,10:05:00,,churn,15,10:05:00,,,,,,,,
work,10,10:20:00,,work,10,10:20:00,,,,,,,,
meeting,65,10:30:00,,meeting,65,10:30:00,,,,,,,,
work,10,11:35:00,,work,10,11:35:00,,,,,,,,
plan,5,11:45:00,,plan,10,11:45:00,,,,,,,,
video,10,11:50:00,,video,5,11:55:00,,,,,,,,
lunch with bill,85,12:00:00,,Lunch,60,12:00:00,,,,,,,,
work,60,13:25:00,,work,60,13:00:00,,,,,,,,
synopses,15,14:25:00,,Gym,75,14:00:00,,,,,,,,
video,20,14:40:00,,work,30,15:15:00,,,,,,,,
tea time,10,15:00:00,,Break,30,15:45:00,,,,,,,,
juggle,25,15:10:00,,work,30,16:15:00,,,,,,,,
work,35,15:35:00,,Meditate,30,16:45:00,,,,,,,,
subanalytics,45,16:10:00,,Go Home!,,17:15:00,,,,,,,,
program call,15,16:55:00,,,,,,,,,,,,
eat dinner,10,17:10:00,,,,,,,,,,,,
program,5,17:20:00,,,,,,,,,,,,
leave,,17:25:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,9-May-14,ACTUAL,,Date:,9-May-14,PLAN,,,,,,,,
wake up get ready,95,7:45:00,,wake up get ready,95,7:45:00,,,,,,,,
bike and shower,45,9:20:00,,bike and shower,45,9:20:00,,,,,,,,
work,45,10:05:00,,work,45,10:05:00,,,,,,,,
program calls,20,10:50:00,,program calls,20,10:50:00,,,,,,,,
plan,10,11:10:00,,plan,10,11:10:00,,,,,,,,
work,50,11:20:00,,work,30,11:20:00,,,,,,,,
lunch,30,12:10:00,,Break,15,11:50:00,,,,,,,,
work,80,12:40:00,,work,25,12:05:00,,,,,,,,
meeting,75,14:00:00,,Lunch,45,12:30:00,,,,,,,,
work,60,15:15:00,,work,30,13:15:00,,,,,,,,
juggle,15,16:15:00,,break,15,13:45:00,,,,,,,,
work,70,16:30:00,,meeting,60,14:00:00,,,,,,,,
leave,,17:40:00,,work,70,15:00:00,,,,,,,,
,,,,juggle,25,16:10:00,,,,,,,,
,,,,work,55,16:35:00,,,,,,,,
,,,,leave,,17:30:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,8-May-14,ACTUAL,,Date:,8-May-14,PLAN,,,,,,,,
wake up get ready,85,7:35:00,,wake up get ready,85,7:35:00,,,,,,,,
drive to work,15,9:00:00,,drive to work,15,9:00:00,,,,,,,,
plan,10,9:15:00,,plan,10,9:15:00,,,,,,,,
program,20,9:25:00,,work,20,9:25:00,,,,,,,,
work,55,9:45:00,,program,10,9:45:00,,,,,,,,
break,10,10:40:00,,work,30,9:55:00,,,,,,,,
subanalytics,35,10:50:00,,subanalytics,25,10:25:00,,,,,,,,
work,15,11:25:00,,work,25,10:50:00,,,,,,,,
juggle,75,11:40:00,,break,10,11:15:00,,,,,,,,
lunch,20,12:55:00,,work,25,11:25:00,,,,,,,,
program call,40,13:15:00,,juggle,45,11:50:00,,,,,,,,
work,65,13:55:00,,lunch,35,12:35:00,,,,,,,,
2 meetings,110,15:00:00,,work,40,13:10:00,,,,,,,,
leave,,16:50:00,,subanalytics,20,13:50:00,,,,,,,,
,,,,work,45,14:10:00,,,,,,,,
,,,,tea time,15,14:55:00,,,,,,,,
,,,,2 meetings,105,15:10:00,,,,,,,,
,,,,leave,,16:55:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,7-May-14,ACTUAL,,Date:,7-May-14,PLAN,,,,,,,,
wake up get ready,95,7:35:00,,wake up get ready,95,7:35:00,,,,,,,,
bike to work,20,9:10:00,,bike to work,20,9:10:00,,,,,,,,
churn,10,9:30:00,,churn,10,9:30:00,,,,,,,,
program,15,9:40:00,,program,15,9:40:00,,,,,,,,
plan,10,9:55:00,,plan,5,9:55:00,,,,,,,,
work,40,10:05:00,,work,10,10:00:00,,,,,,,,
juggle ,10,10:45:00,,subanalytics,15,10:10:00,,,,,,,,
work,10,10:55:00,,churn,30,10:25:00,,,,,,,,
chit chat,5,11:05:00,,work,10,10:55:00,,,,,,,,
subanalytics,15,11:10:00,,expenditures research,15,11:05:00,,,,,,,,
work,25,11:25:00,,churn,45,11:20:00,,,,,,,,
program,15,11:50:00,,lunch,60,12:05:00,,,,,,,,
lunch,60,12:05:00,,work,10,13:05:00,,,,,,,,
program call,20,13:05:00,,subanalytics,15,13:15:00,,,,,,,,
work,70,13:25:00,,churn,45,13:30:00,,,,,,,,
juggle,30,14:35:00,,work,10,14:15:00,,,,,,,,
program,15,15:05:00,,expenditures research,15,14:25:00,,,,,,,,
work,40,15:20:00,,churn,45,14:40:00,,,,,,,,
tea time,15,16:00:00,,work,10,15:25:00,,,,,,,,
churn,40,16:15:00,,phone shit,15,15:35:00,,,,,,,,
work,25,16:55:00,,churn,45,15:50:00,,,,,,,,
program call,30,17:20:00,,work,10,16:35:00,,,,,,,,
leave,,17:50:00,,subanalytics,15,16:45:00,,,,,,,,
,,,,churn,30,17:00:00,,,,,,,,
,,,,leave,,17:30:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,6-May-14,ACTUAL,,Date:,6-May-14,PLAN,,,,,,,,
wake up get ready,70,8:35:00,,wake up get ready,70,8:35:00,,,,,,,,
walk to work,60,9:45:00,,walk to work,60,9:45:00,,,,,,,,
work,5,10:45:00,,work,5,10:45:00,,,,,,,,
plan,5,10:50:00,,plan,5,10:50:00,,,,,,,,
program,10,10:55:00,,program,5,10:55:00,,,,,,,,
work,30,11:05:00,,work,25,11:00:00,,,,,,,,
print shit,15,11:35:00,,phone shit,20,11:25:00,,,,,,,,
phone shit,20,11:50:00,,work,40,11:45:00,,,,,,,,
work,25,12:10:00,,Break,25,12:25:00,,,,,,,,
juggle,30,12:35:00,,work,20,12:50:00,,,,,,,,
walk to get lunch,30,13:05:00,,Lunch,60,13:10:00,,,,,,,,
program call,15,13:35:00,,work,40,14:10:00,,,,,,,,
work,20,13:50:00,,subanalytics,30,14:50:00,,,,,,,,
lunch,40,14:10:00,,tea time,25,15:20:00,,,,,,,,
churn,15,14:50:00,,work,30,15:45:00,,,,,,,,
work,30,15:05:00,,Break,30,16:15:00,,,,,,,,
break,20,15:35:00,,work,30,16:45:00,,,,,,,,
work,20,15:55:00,,phone shit,30,17:15:00,,,,,,,,
churn,45,16:15:00,,leave,,17:45:00,,,,,,,,
leave,,17:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,5-May-14,ACTUAL,,Date:,5-May-14,PLAN,,,,,,,,
wake up get ready,110,10:10:00,,wake up get ready,110,10:10:00,,,,,,,,
drive to work,15,12:00:00,,drive to work,15,12:00:00,,,,,,,,
churn,5,12:15:00,,churn,5,12:15:00,,,,,,,,
program,5,12:20:00,,program,5,12:20:00,,,,,,,,
churn,5,12:25:00,,churn,5,12:25:00,,,,,,,,
plan,5,12:30:00,,plan,5,12:30:00,,,,,,,,
phone research,15,12:35:00,,prayer & meditation,20,12:35:00,,,,,,,,
prayer & meditation,20,12:50:00,,work,25,12:55:00,,,,,,,,
phone research,10,13:10:00,,phone research,25,13:20:00,,,,,,,,
program calls,10,13:20:00,,work,25,13:45:00,,,,,,,,
phone research,10,13:30:00,,juggle,25,14:10:00,,,,,,,,
work,35,13:40:00,,work,20,14:35:00,,,,,,,,
juggle,15,14:15:00,,subanalytics,25,14:55:00,,,,,,,,
work,20,14:30:00,,work,20,15:20:00,,,,,,,,
subanalytics,35,14:50:00,,tea time,25,15:40:00,,,,,,,,
work,10,15:25:00,,work,20,16:05:00,,,,,,,,
tea time,10,15:35:00,,subanalytics,15,16:25:00,,,,,,,,
work,25,15:45:00,,break,15,16:40:00,,,,,,,,
subanalytics,15,16:10:00,,work,25,16:55:00,,,,,,,,
break,10,16:25:00,,leave,,17:20:00,,,,,,,,
work,75,16:35:00,,,,,,,,,,,,
leave,,17:50:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,2-May-14,ACTUAL,,Date:,2-May-14,PLAN,,,,,,,,
wake up get ready,60,9:15:00,,wake up get ready,60,9:15:00,,,,,,,,
walk to work,25,10:15:00,,walk to work,25,10:15:00,,,,,,,,
prayer and meditation,25,10:40:00,,prayer and meditation,25,10:40:00,,,,,,,,
walk to work,30,11:05:00,,walk to work,30,11:05:00,,,,,,,,
churn,5,11:35:00,,churn,5,11:35:00,,,,,,,,
get lunch,10,11:40:00,,get lunch,10,11:40:00,,,,,,,,
work,5,11:50:00,,work,5,11:50:00,,,,,,,,
plan,10,11:55:00,,plan,15,11:55:00,,,,,,,,
eat lunch,35,12:05:00,,eat lunch,35,12:10:00,,,,,,,,
work,65,12:40:00,,work,45,12:45:00,,,,,,,,
video,30,13:45:00,,break,20,13:30:00,,,,,,,,
work,40,14:15:00,,work,40,13:50:00,,,,,,,,
video,25,14:55:00,,juggle,25,14:30:00,,,,,,,,
work,35,15:20:00,,work,35,14:55:00,,,,,,,,
video,10,15:55:00,,churn,30,15:30:00,,,,,,,,
juggle,35,16:05:00,,work,40,16:00:00,,,,,,,,
work,40,16:40:00,,break,20,16:40:00,,,,,,,,
leave for picnic,,17:20:00,,work,20,17:00:00,,,,,,,,
,,,,leave,,17:20:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,1-May-14,ACTUAL,,Date:,1-May-14,PLAN,,,,,,,,
no work sick,0,10:30:00,,wake up get ready,90,7:40:00,,,,,,,,
,,,,drive to work,15,9:10:00,,,,,,,,
,,,,brush teeth,10,9:25:00,,,,,,,,
,,,,program,15,9:35:00,,,,,,,,
,,,,work,55,9:50:00,,,,,,,,
,,,,break,30,10:45:00,,,,,,,,
,,,,work,50,11:15:00,,,,,,,,
,,,,lunch,55,12:05:00,,,,,,,,
,,,,work,30,13:00:00,,,,,,,,
,,,,subanalytics,40,13:30:00,,,,,,,,
,,,,break,20,14:10:00,,,,,,,,
,,,,subanalytics,30,14:30:00,,,,,,,,
,,,,meeting,70,15:00:00,,,,,,,,
,,,,program,50,16:10:00,,,,,,,,
,,,,subanalytics,25,17:00:00,,,,,,,,
,,,,leave,,17:25:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,30-Apr-14,ACTUAL,,Date:,30-Apr-14,PLAN,,,,,,,,
wake up get ready,100,8:55:00,,wake up get ready,100,8:55:00,,,,,,,,
bank,25,10:35:00,,bank,25,10:35:00,,,,,,,,
drive to work,10,11:00:00,,drive to work,10,11:00:00,,,,,,,,
plan,10,11:10:00,,plan,10,11:10:00,,,,,,,,
program,105,11:20:00,,program,45,11:20:00,,,,,,,,
lunch,40,13:05:00,,juggle,50,12:05:00,,,,,,,,
program,45,13:45:00,,lunch,25,12:55:00,,,,,,,,
work,55,14:30:00,,program,60,13:20:00,,,,,,,,
tea time,40,15:25:00,,work,35,14:20:00,,,,,,,,
work,65,16:05:00,,break,15,14:55:00,,,,,,,,
plan,5,17:10:00,,work,30,15:10:00,,,,,,,,
leave,,17:15:00,,gym,70,15:40:00,,,,,,,,
,,,,work,25,16:50:00,,,,,,,,
,,,,leave,,17:15:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,29-Apr-14,ACTUAL,,Date:,29-Apr-14,PLAN,,,,,,,,
wake up get ready,70,7:10:00,,wake up get ready,70,7:10:00,,,,,,,,
bank,25,8:20:00,,bank,25,8:20:00,,,,,,,,
drive to work,15,8:45:00,,drive to work,15,8:45:00,,,,,,,,
work,5,9:00:00,,work,5,9:00:00,,,,,,,,
brush teeth,10,9:05:00,,plan,10,9:05:00,,,,,,,,
plan,5,9:15:00,,brush teeth,10,9:15:00,,,,,,,,
prayer and meditation,20,9:20:00,,prayer and meditation,20,9:25:00,,,,,,,,
program,10,9:40:00,,work,15,9:45:00,,,,,,,,
work,10,9:50:00,,meeting,60,10:00:00,,,,,,,,
meeting,65,10:00:00,,work,60,11:00:00,,,,,,,,
churn,20,11:05:00,,lunch,60,12:00:00,,,,,,,,
program call,30,11:25:00,,work,20,13:00:00,,,,,,,,
lunch,70,11:55:00,,break,20,13:20:00,,,,,,,,
program call,10,13:05:00,,work,20,13:40:00,,,,,,,,
work,35,13:15:00,,meeting,60,14:00:00,,,,,,,,
program call,5,13:50:00,,work,40,15:00:00,,,,,,,,
work,5,13:55:00,,break,40,15:40:00,,,,,,,,
meeting,10,14:00:00,,work,40,16:20:00,,,,,,,,
video,50,14:10:00,,leave,,17:00:00,,,,,,,,
work,45,15:00:00,,,,,,,,,,,,
tea,15,15:45:00,,,,,,,,,,,,
juggle,20,16:00:00,,,,,,,,,,,,
work,45,16:20:00,,,,,,,,,,,,
leave,,17:05:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,28-Apr-14,ACTUAL,,Date:,28-Apr-14,PLAN,,,,,,,,
wake up get ready,95,7:25:00,,wake up get ready,95,7:25:00,,,,,,,,
drive to work,15,9:00:00,,drive to work,15,9:00:00,,,,,,,,
talk to qing,15,9:15:00,,talk to qing,15,9:15:00,,,,,,,,
churn,5,9:30:00,,churn,5,9:30:00,,,,,,,,
prayer and meditation,20,9:35:00,,prayer and meditation,20,9:35:00,,,,,,,,
work,5,9:55:00,,work,5,9:55:00,,,,,,,,
churn,5,10:00:00,,churn,5,10:00:00,,,,,,,,
plan,5,10:05:00,,plan,5,10:05:00,,,,,,,,
work,20,10:10:00,,work,20,10:10:00,,,,,,,,
meeting,50,10:30:00,,meeting,60,10:30:00,,,,,,,,
work,10,11:20:00,,work,15,11:30:00,,,,,,,,
program call,35,11:30:00,,Break,25,11:45:00,,,,,,,,
work,25,12:05:00,,work,20,12:10:00,,,,,,,,
churn,10,12:30:00,,Lunch,55,12:30:00,,,,,,,,
lunch,55,12:40:00,,work,55,13:25:00,,,,,,,,
work,90,13:35:00,,Gym,70,14:20:00,,,,,,,,
program,15,15:05:00,,work,30,15:30:00,,,,,,,,
gym,55,15:20:00,,Break,35,16:00:00,,,,,,,,
program,10,16:15:00,,work,30,16:35:00,,,,,,,,
work,75,16:25:00,,leave,,17:05:00,,,,,,,,
leave,,17:40:00,,,,,,,,,,,,
