Date:,25-Sep-14,ACTUAL,,Date:,25-Sep-14,ACTUAL,,,,,,,,
work,30,17:35:00,,work,35,17:30:00,,,,,,,,
churn,75,18:05:00,,leave,,18:05:00,,,,,,,,
leave,,19:20:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,4-Sep-14,ACTUAL,,Date:,4-Sep-14,PLAN,,,,,,,,
wake up get ready,165,7:00:00,,wake up get ready,165,7:00:00,,,,,,,,
drive to work,15,9:45:00,,drive to work,15,9:45:00,,,,,,,,
work,70,10:00:00,,work,70,10:00:00,,,,,,,,
program,55,11:10:00,,program,55,11:10:00,,,,,,,,
work,50,12:05:00,,work,50,12:05:00,,,,,,,,
plan,0,12:55:00,,plan,5,12:55:00,,,,,,,,
video games,30,12:55:00,,video games,25,13:00:00,,,,,,,,
work,70,13:25:00,,work,35,13:25:00,,,,,,,,
video games,25,14:35:00,,break,30,14:00:00,,,,,,,,
meeting,65,15:00:00,,work,30,14:30:00,,,,,,,,
churn,15,16:05:00,,meeting,80,15:00:00,,,,,,,,
gym,75,16:20:00,,gym,75,16:20:00,,,,,,,,
churn,10,17:35:00,,work,25,17:35:00,,,,,,,,
program,25,17:45:00,,leave,,18:00:00,,,,,,,,
leave,,18:10:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,3-Sep-14,ACTUAL,,Date:,3-Sep-14,PLAN,,,,,,,,
wake up get ready,110,8:00:00,,wake up get ready,110,8:00:00,,,,,,,,
drive to work,15,9:50:00,,drive to work,15,9:50:00,,,,,,,,
work,45,10:05:00,,work,45,10:05:00,,,,,,,,
bathroom,5,10:50:00,,bathroom,5,10:50:00,,,,,,,,
plan,5,10:55:00,,plan,5,10:55:00,,,,,,,,
work,40,11:00:00,,work,55,11:00:00,,,,,,,,
program,10,11:40:00,,lunch,75,11:55:00,,,,,,,,
lunch,75,11:50:00,,work,30,13:10:00,,,,,,,,
video games,10,13:05:00,,break,20,13:40:00,,,,,,,,
churn,5,13:15:00,,meeting,40,14:00:00,,,,,,,,
work,40,13:20:00,,program,45,14:40:00,,,,,,,,
meeting,65,14:00:00,,work,35,15:25:00,,,,,,,,
program,40,15:05:00,,expenditures research,40,16:00:00,,,,,,,,
video games,30,15:45:00,,work,35,16:40:00,,,,,,,,
research,75,16:15:00,,video games,45,17:15:00,,,,,,,,
leave,,17:30:00,,leave,,18:00:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,2-Sep-14,ACTUAL,,Date:,2-Sep-14,PLAN,,,,,,,,
wake up get ready,55,8:00:00,,wake up get ready,55,8:00:00,,,,,,,,
drive to work,20,8:55:00,,drive to work,20,8:55:00,,,,,,,,
churn,25,9:15:00,,churn,25,9:15:00,,,,,,,,
plan,5,9:40:00,,plan,5,9:40:00,,,,,,,,
bathroom,10,9:45:00,,program,15,9:45:00,,,,,,,,
program,5,9:55:00,,work,50,10:00:00,,,,,,,,
work,40,10:00:00,,break,15,10:50:00,,,,,,,,
video games,25,10:40:00,,work,50,11:05:00,,,,,,,,
work,40,11:05:00,,lunch,80,11:55:00,,,,,,,,
lunch,75,11:45:00,,work,40,13:15:00,,,,,,,,
video games,120,13:00:00,,program,55,13:55:00,,,,,,,,
work,50,15:00:00,,work,40,14:50:00,,,,,,,,
program,10,15:50:00,,subanalytics,35,15:30:00,,,,,,,,
